image,method,PSNR,SSIM
kodim22,bilateral,27.512709382837308,0.6819379132705525
kodim22,chain_open,7.67107145022877,0.227326120488546
kodim23,box,29.46682754279732,0.8953892056395452
kodim23,gaussian,32.89347994439358,0.9491160963872617
kodim23,median,31.54880250425817,0.9138707730913728
kodim23,bilateral,31.392118717348232,0.8854349857992653
kodim23,chain_open,8.754629301974276,0.14782257444477517
kodim24,box,23.411786546168166,0.6768659711568666
kodim24,gaussian,26.30023307946327,0.8483390796265322
kodim24,median,23.55231776473683,0.7182779279975187
kodim24,bilateral,25.41835405424331,0.6883016615610585
kodim24,chain_open,8.514323384952224,0.1694448199741104
